text,label
"자녀 영문법책 무료로 받아가세요!!!",1
"출장썬팅 5만원!!!",1
"카톡 이모티콘 공짜로 받으세요~ㅎㅎ",1
"애들아 이걸로 하루 5천씩은 무조건 번다 꼭 해야함",1
"쿵푸 올스타라고 아는사람? ㅋㅋ",1
"일하시면서 준비하시는 분들 어떻게 준비하세요?",1
"카지노사이트",1
"안쓰는 네이버 아이디 문상 5천원으로 삽니당",1
"네이버 게임이나 쇼핑 하는사람 마일리지(3000원) 버는법!",1
"네이버 마일리지 이벤트해요!!",1
"[강추] 개꿀팁!!",1
"□코원 블루투스 무선이어폰 CT12 반값 이벤트 특가 29,000원! ",1
"블루투스 V5.0, 최대 12시간 재생에, 음질은 물론 통화까지 깔끔한 가성비 갑 제품 ",1
"정가 69,000원▶중나 회원 단독가 29,000원",1
"□삼성 갤럭시 북2, 노트북과 태블릿의 장점을 그대로 12.2인치 풀HD 화상캠 ",1
"무선 WiFi 재택근무/화상수업 최적의 윈도우 10설치로 보다 더 편리하게~ ",1
"신품급 수준 박스 리퍼 제품으로 네이버 최저가 대비 30%이상 저렴하게 판매 합니다!",1
"선물로도 좋은 대봉감 판매합니다 ^^ 첫 출하라 최상품이에요!",1
"하고싶은 게임있으면 여기로 다 모여라!!!!!!",1
"휴대폰에 @필수적@으로 깔아되는 앱!!!!!!",1
"다들 사전예약 신청은 하셨나요?",1
"몇키로로 보이나요?",1
"생필품 연말 핫딜 시작됐네요!",1
"아이 적성검사 받으셨나요?",1
"테스트 해봄~!! 내피부 실화냐? ㅠㅠ",1
"셀카로 피부진단 되네요ㅎㅎ신기ㅋ",1
"캐나다구스 2018FW 어프로치자켓(삼성) 20% 세일 한정 이벤트 마감안내~",1
"진짜 너무 이기적이신거아닙니까?글보면 자신은알죠?",1
"(19)원나잇만남야한후기모음",1
"호텔 80프로 할인중인데 진짜 싸네요",1
"갤럭시노트10 5만2천원 팝니다",1
"장기렌트 고민하시면 유용한 정보입니다",1
"많은 기간 알고 있는 형님께서 보내주신 정보 드려봅니다",1
"아직 안주무시는분들은 꼭 보셔야겠네요~",1
"노트 10 오늘까지 5만원대에 풀리네요 !! 선착순이래요!!",1
"연세대 무료체험 떴네요~~ 아이들 있으면 마감전에 챙기세요!",1
"담배 못끊으시는분 꼭 보세요!! 뉴스떴네요...",1
"노트10 5만원대로 풀리네요~ 오늘까지 선착순이래요~",1
"인강 때문에 고민이었는데 해결했습니당",1
"카지노바카라",1
"기흥역 대우푸르지오주상복합 아파트35평 선착순분양 대박구조",1
"어플다운",1
"과금 힘드시죠......?",1
"시간날때 설문메일받고 재택알바 하세요~^^*(청소년도 가능)",1
"걸스데이 민아 온천에서 일본남자연예인과...",1
"초등학생 자녀 있으신분들 무료로 다중지능검사 받아보세요!!",1
"진짜 열받네요... 자녀들 지원 꼭 챙겨받으세욧!! 확인안했으면 못받을뻔했네요 ㅜㅜ",1
"et5 열받네여ㅜ.. 갤s20특가 4마넌으로 이제야 0원으로 풀렸다네요",1
"각종 명품레플리카 보고가세요~ ^^",1
"헐 ㅠㅠ 숨은돈 180만 찾았어요 ㅜㅠ!",1
"팔자주름리프팅 대신 자연적인방법~!",1
"맨시티 아스널 중계 고화질 무료로 보는 합리적인방법",1
"지금 노트10 5만원에 떴네요 ~!!",1
"획기적이고 창의적인 투자 아이템",1
"집으로 찾아오는 백일촬영^^",1
"남편이랑 리빙파워센터 갔다왔어요!이제는 집에서 단돈 5만원이면 매일 3~5배를 수익을 벌수 있는 최고의 게임",1
"최신 사다리분석기 & MGM분석기 무료지급!",1
"아기의건강을 최우선으로 하는 엄마의 마음을 담은 베이비 모니터~",1
"프라우니스 본사에 회원가입하구 할인혜택 받아서 저렴하게 구매하구 사은품까지!!",1
"연봉 2600으로 5년만에 1억 모았습니다",1
"주름패치 프라우니스 소개해드려요~",1
"노트10 5만원대 대란ㄷㄷ 오늘까지 신청받네요!!",1
"팔자주름리프팅 대신 자연적인방법~!",1
"인터넷가입 현금+상품권 가장많이 지급해주는곳쓰고 돈절약했어요",1
"맞춤형 난임 치료를 통해 모두 좋은 결과얻으셨으면 좋겠어요~~",1
"365일 24시 실시간 즉시입금 상품권 매입 공식등록업체 투인상품권",1
"갤 S20+ 사전예약 10만원대 선착순 접수받네요",1
"갤 노트10 5G가 5만원대네요 ㄷㄷ",1
"최신 사다리 분석기 & MGM분석기 무료지급",1
"복부비만 프로젝트 참가자 모집한대요~ 같이 하실분들 구해요 ㅎㅎ",1
